Sr. No,Circuit Type,Circuit name,No. of transistors,No. of n-type transistor,No. of p-type transistor,Lg, W,D,Input Output Delay
205,Basic gates,OR Gate,6,3,3,4.20E-08,5.00E-07,1.30E-09,3.10E-11
206,Basic gates,OR Gate,6,3,3,4.20E-08,6.00E-07,1.30E-09,3.60E-11
207,Basic gates,OR Gate,6,3,3,4.20E-08,7.00E-07,1.30E-09,4.07E-11
208,Basic gates,OR Gate,6,3,3,4.20E-08,8.00E-07,1.30E-09,4.54E-11
209,Basic gates,OR Gate,6,3,3,4.20E-08,9.00E-07,1.30E-09,4.99E-11
210,Basic gates,OR Gate,6,3,3,4.20E-08,1.00E-06,1.30E-09,5.44E-11
211,Basic gates,OR Gate,6,3,3,4.20E-08,1.00E-07,1.40E-09,5.16E-12
212,Basic gates,OR Gate,6,3,3,4.20E-08,2.00E-07,1.40E-09,1.19E-11
213,Basic gates,OR Gate,6,3,3,4.20E-08,3.00E-07,1.40E-09,1.77E-11
214,Basic gates,OR Gate,6,3,3,4.20E-08,4.00E-07,1.40E-09,2.29E-11
215,Basic gates,OR Gate,6,3,3,4.20E-08,5.00E-07,1.40E-09,2.77E-11
216,Basic gates,OR Gate,6,3,3,4.20E-08,6.00E-07,1.40E-09,3.23E-11
217,Basic gates,OR Gate,6,3,3,4.20E-08,7.00E-07,1.40E-09,3.68E-11
218,Basic gates,OR Gate,6,3,3,4.20E-08,8.00E-07,1.40E-09,4.11E-11
219,Basic gates,OR Gate,6,3,3,4.20E-08,9.00E-07,1.40E-09,4.53E-11
220,Basic gates,OR Gate,6,3,3,4.20E-08,1.00E-06,1.40E-09,4.94E-11
221,Basic gates,OR Gate,6,3,3,4.20E-08,1.00E-07,1.50E-09,3.55E-12
222,Basic gates,OR Gate,6,3,3,4.20E-08,2.00E-07,1.50E-09,9.94E-12
223,Basic gates,OR Gate,6,3,3,4.20E-08,3.00E-07,1.50E-09,1.54E-11
224,Basic gates,OR Gate,6,3,3,4.20E-08,4.00E-07,1.50E-09,2.03E-11
225,Basic gates,OR Gate,6,3,3,4.20E-08,5.00E-07,1.50E-09,2.48E-11
226,Basic gates,OR Gate,6,3,3,4.20E-08,6.00E-07,1.50E-09,2.93E-11
227,Basic gates,OR Gate,6,3,3,4.20E-08,7.00E-07,1.50E-09,3.35E-11
228,Basic gates,OR Gate,6,3,3,4.20E-08,8.00E-07,1.50E-09,3.75E-11
229,Basic gates,OR Gate,6,3,3,4.20E-08,9.00E-07,1.50E-09,4.14E-11
230,Basic gates,OR Gate,6,3,3,4.20E-08,1.00E-06,1.50E-09,4.53E-11
231,Basic gates,OR Gate,6,3,3,4.20E-08,1.00E-07,1.60E-09,2.15E-12
232,Basic gates,OR Gate,6,3,3,4.20E-08,2.00E-07,1.60E-09,8.16E-12
